id,o_S1,o_S2,o_S3,o_S4,o_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MzI0NDYyMjg2Nw==,0,0,0,0,12,0.0,0.0,0.0,0.0,0.666666666667
MzI0NTA5ODQ2NQ==,0,0,20,0,0,0.0,0.0,0.0925925925926,0.0,0.0
MzI0NTM4OTYwNQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI0NzA0MjIyMA==,0,31,56,67,52,0.0,0.183431952663,0.394366197183,0.62037037037,0.304093567251
MzI0ODAwMjI4MA==,0,21,9,5,3,0.0,0.0324074074074,0.0186721991701,0.0168918918919,0.00821917808219
MzI0ODEyNzEwNw==,3,58,75,76,70,0.0555555555556,0.852941176471,0.524475524476,0.368932038835,0.229508196721
MzI0ODI2MDU4Mw==,0,5,16,9,7,0.0,0.2,0.888888888889,0.642857142857,0.875
MzI0OTYxODE4Mg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI1MDEwMzMxNw==,0,0,2,8,0,0.0,0.0,0.142857142857,0.347826086957,0.0
MzI1MDQzMDgzNw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI1MjM5MTM1OA==,0,0,0,29,11,0.0,0.0,0.0,0.122362869198,0.0443548387097
MzI1MzM2Njc2Mg==,0,0,0,0,12,0.0,0.0,0.0,0.0,0.631578947368
MzI1NTA0MzEwOQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI1NjA4Nzc3OA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI1NzAxNTI3Mw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI1ODAzODQ3Nw==,10,23,12,16,1,0.25,0.657142857143,0.6,0.761904761905,1.0
MzI1ODI3NzIxMg==,0,0,3,0,5,0.0,0.0,0.024,0.0,0.0239234449761
MzI1OTUwNzg1OQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI2MzAzMzI4NA==,26,51,44,44,44,0.382352941176,0.980769230769,0.55,0.5,0.47311827957
MzI2MzU2ODM5OA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzI2NDEyNzYwMw==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
